code;name_en;name_ru;title_en;title_ru;friendlyUrl_en;friendlyUrl_ru;highlights_en;highlights_ru;position;visible;parent;
48;name_en;Салфетки, туалетная бумага, полотенца;title_en;Салфетки, туалетная бумага, полотенца;friendlyUrl_en;48;0;0;300;1;122;
285;name_en;Перчатки;title_en;Перчатки;friendlyUrl_en;285;0;0;1230;1;122;
286;name_en;Автохимия;title_en;Автохимия;friendlyUrl_en;286;0;0;1240;1;122;
288;name_en;Мешки , пакеты для мусора;title_en;Мешки , пакеты для мусора;friendlyUrl_en;288;0;0;1260;1;122;
293;name_en;Губки, фольга, пленка,товары для дома;title_en;Губки, фольга, пленка,товары для дома;friendlyUrl_en;293;0;0;1310;1;122;
287;name_en;Товары по уходу за обувью и одеждой;title_en;Товары по уходу за обувью и одеждой;friendlyUrl_en;287;0;0;1250;1;122;
171;name_en;Косметология КАЕТАНА;title_en;Косметология КАЕТАНА;friendlyUrl_en;171;0;0;790;1;130;
156;name_en;Косметология DENOVA HOME;title_en;Косметология DENOVA HOME;friendlyUrl_en;156;0;0;760;1;130;
131;name_en;Косметология Денова Про;title_en;Косметология Денова Про;friendlyUrl_en;131;0;0;690;1;130;
140;name_en;Биолонг Антисептики/дезинф;title_en;Биолонг Антисептики/дезинф;friendlyUrl_en;140;0;0;710;1;139;
265;name_en;Магнит для гель-лака Beauty House CAT eyes;title_en;Магнит для гель-лака Beauty House CAT eyes;friendlyUrl_en;265;0;0;1060;1;141;
164;name_en;Гель-лак д/ногтей Beauty House New;title_en;Гель-лак д/ногтей Beauty House New;friendlyUrl_en;164;0;0;780;1;141;
150;name_en;Снятие Гель-лака средства;title_en;Снятие Гель-лака средства;friendlyUrl_en;150;0;0;750;1;141;
147;name_en;Средства для снятия лака;title_en;Средства для снятия лака;friendlyUrl_en;147;0;0;740;1;141;
142;name_en;Гель-лак 8мл Naivy Professional (Экми);title_en;Гель-лак 8мл Naivy Professional (Экми);friendlyUrl_en;142;0;0;730;1;141;
30;name_en;Декоративная косметика для ногтей;title_en;Декоративная косметика для ногтей;friendlyUrl_en;30;0;0;190;1;141;
39;name_en;Тональные средства;title_en;Тональные средства;friendlyUrl_en;39;0;0;240;1;190;
279;name_en;Освежители воздуха;title_en;Освежители воздуха;friendlyUrl_en;279;0;0;1170;1;4;
280;name_en;Уход за санузлами;title_en;Уход за санузлами;friendlyUrl_en;280;0;0;1180;1;4;
281;name_en;Для чистки ковров;title_en;Для чистки ковров;friendlyUrl_en;281;0;0;1190;1;4;
282;name_en;Для стекол и зеркал;title_en;Для стекол и зеркал;friendlyUrl_en;282;0;0;1200;1;4;
283;name_en;Для чистки кафеля и сантехники;title_en;Для чистки кафеля и сантехники;friendlyUrl_en;283;0;0;1210;1;4;
291;name_en;Для удаления накипи,нагара, ржавчины;title_en;Для удаления накипи,нагара, ржавчины;friendlyUrl_en;291;0;0;1290;1;6;
